code,year,index,mean,std,min,max,p10,p90,valid_pixels,status,name,industry,group
600819,2021,NDVI,0.285,0.2344,-0.3927,0.9187,0.0038,0.6428,35525,ok,上海耀皮玻璃集团股份有限公司,建材,棕色
600819,2021,NDWI,-0.2554,0.2,-0.7942,0.4891,-0.5518,-0.0132,35525,ok,上海耀皮玻璃集团股份有限公司,建材,棕色
601992,2019,NDVI,0.2672,0.1781,-0.0824,0.828,0.0622,0.5292,31916,ok,北京金隅集团股份有限公司,建材,争议
601992,2019,NDWI,-0.301,0.1682,-0.745,0.2885,-0.5267,-0.131,31916,ok,北京金隅集团股份有限公司,建材,争议
601992,2021,NDVI,0.3792,0.265,-0.3392,0.9311,0.0641,0.7805,31916,ok,北京金隅集团股份有限公司,建材,争议
601992,2021,NDWI,-0.383,0.2238,-0.8394,0.5009,-0.6909,-0.1332,31916,ok,北京金隅集团股份有限公司,建材,争议
603737,2019,NDVI,0.4863,0.2974,-0.2531,0.8925,0.0423,0.8209,37555,ok,三棵树涂料股份有限公司,建材,争议
603737,2019,NDWI,-0.4186,0.2628,-0.7902,0.4905,-0.6984,-0.0289,37555,ok,三棵树涂料股份有限公司,建材,争议
603737,2021,NDVI,0.5307,0.2248,-0.4467,0.8962,0.2836,0.7725,37555,ok,三棵树涂料股份有限公司,建材,争议
603737,2021,NDWI,-0.4582,0.2192,-0.8011,0.5787,-0.669,-0.261,37555,ok,三棵树涂料股份有限公司,建材,争议
000630,2019,NDVI,0.4274,0.2492,-0.0915,0.8601,0.1036,0.7813,35148,ok,铜陵有色金属集团股份有限公司（金威铜业分公司18）,有色,争议
000630,2019,NDWI,-0.4065,0.1981,-0.7697,0.2119,-0.6802,-0.1433,35148,ok,铜陵有色金属集团股份有限公司（金威铜业分公司18）,有色,争议
000630,2021,NDVI,0.2857,0.1836,-0.1364,0.7977,0.0626,0.5448,35148,ok,铜陵有色金属集团股份有限公司（金威铜业分公司18）,有色,争议
000630,2021,NDWI,-0.2551,0.1503,-0.7071,0.1086,-0.4641,-0.0727,35148,ok,铜陵有色金属集团股份有限公司（金威铜业分公司18）,有色,争议
000807,2019,NDVI,,,,,,,0,Batch job 'j-26060816534145cfade334f3a8653e22' didn't finish successfully. Status: error (after 0:01:47).,云南铝业股份有限公司,有色,标杆
000807,2019,NDWI,,,,,,,0,Batch job 'j-26060816553345888805791eedb4ff8d' didn't finish successfully. Status: error (after 0:01:48).,云南铝业股份有限公司,有色,标杆
000807,2021,NDVI,,,,,,,0,Batch job 'j-2606081657264d0685ab49a0eb99ce6c' didn't finish successfully. Status: error (after 0:01:54).,云南铝业股份有限公司,有色,标杆
000807,2021,NDWI,,,,,,,0,Batch job 'j-2606081659254c9ebd79c020778bb643' didn't finish successfully. Status: error (after 0:02:10).,云南铝业股份有限公司,有色,标杆
002378,2019,NDVI,0.4917,0.3009,-0.188,0.9043,0.0948,0.837,38130,ok,崇义章源钨业股份有限公司,有色,绿色
002378,2019,NDWI,-0.45,0.2323,-0.8239,0.222,-0.7204,-0.1462,38130,ok,崇义章源钨业股份有限公司,有色,绿色
002378,2021,NDVI,,,,,,,0,Batch job 'j-2606081706264d7fa0d63a5d8bcdb699' didn't finish successfully. Status: error (after 0:03:01).,崇义章源钨业股份有限公司,有色,绿色
002378,2021,NDWI,,,,,,,0,Batch job 'j-2606081709344f6f97d4411c75223ae6' didn't finish successfully. Status: error (after 0:05:07).,崇义章源钨业股份有限公司,有色,绿色
002460,2019,NDVI,0.2974,0.1893,-0.1527,0.8493,0.0955,0.5764,36946,ok,江西赣锋锂业股份有限公司,有色,标杆
002460,2019,NDWI,-0.2927,0.1675,-0.7497,0.3662,-0.522,-0.1213,36946,ok,江西赣锋锂业股份有限公司,有色,标杆
002460,2021,NDVI,0.1002,0.2018,-0.5604,0.8008,-0.0905,0.4012,36946,ok,江西赣锋锂业股份有限公司,有色,标杆
002460,2021,NDWI,,,,,,,0,Batch job 'j-260608172919460bb7e2b17e7ad19fea' didn't finish successfully. Status: error (after 0:04:47).,江西赣锋锂业股份有限公司,有色,标杆
600362,2019,NDVI,0.5324,0.2513,-0.1128,0.8948,0.1397,0.8049,35778,ok,江西铜业股份有限公司（贵溪冶炼厂19）,有色,争议
600362,2019,NDWI,-0.4915,0.1909,-0.7732,0.2925,-0.6861,-0.2023,35778,ok,江西铜业股份有限公司（贵溪冶炼厂19）,有色,争议
600362,2021,NDVI,0.5162,0.2306,-0.1588,0.8823,0.1725,0.7874,35778,ok,江西铜业股份有限公司（贵溪冶炼厂19）,有色,争议
600362,2021,NDWI,-0.4817,0.1756,-0.9165,0.2775,-0.6772,-0.2268,35778,ok,江西铜业股份有限公司（贵溪冶炼厂19）,有色,争议
600456,2019,NDVI,0.4694,0.2291,-0.1085,0.9047,0.1736,0.7836,34884,ok,宝鸡钛业股份有限公司,有色,独立测试集
600456,2019,NDWI,-0.4854,0.1601,-0.811,0.1687,-0.6897,-0.2775,34884,ok,宝鸡钛业股份有限公司,有色,独立测试集
600456,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,宝鸡钛业股份有限公司,有色,独立测试集
600456,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,宝鸡钛业股份有限公司,有色,独立测试集
600497,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,云南驰宏锌锗股份有限公司,有色,绿色
600497,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,云南驰宏锌锗股份有限公司,有色,绿色
600497,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,云南驰宏锌锗股份有限公司,有色,绿色
600497,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,云南驰宏锌锗股份有限公司,有色,绿色
600531,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,河南豫光金铅股份有限公司23,有色,绿色
600531,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,河南豫光金铅股份有限公司23,有色,绿色
600531,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,河南豫光金铅股份有限公司23,有色,绿色
600531,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,河南豫光金铅股份有限公司23,有色,绿色
601600,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国铝业股份有限公司（广西18）,有色,争议
601600,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国铝业股份有限公司（广西18）,有色,争议
601600,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国铝业股份有限公司（广西18）,有色,争议
601600,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国铝业股份有限公司（广西18）,有色,争议
000912,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,四川泸天化股份有限公司,石化,绿色
000912,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,四川泸天化股份有限公司,石化,绿色
000912,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,四川泸天化股份有限公司,石化,绿色
000912,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,四川泸天化股份有限公司,石化,绿色
002493,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆
002493,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆
002493,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆
002493,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆
600028,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,石化,绿色
600028,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,石化,绿色
600028,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,石化,绿色
600028,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,石化,绿色
600339,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中油工程建设股份有限公司,石化,棕色
600339,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中油工程建设股份有限公司,石化,棕色
600339,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中油工程建设股份有限公司,石化,棕色
600339,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中油工程建设股份有限公司,石化,棕色
600346,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,恒力石化股份有限公司（恒力石化（大连）有限公司19）,石化,标杆
600346,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,恒力石化股份有限公司（恒力石化（大连）有限公司19）,石化,标杆
600346,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,恒力石化股份有限公司（恒力石化（大连）有限公司19）,石化,标杆
600346,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,恒力石化股份有限公司（恒力石化（大连）有限公司19）,石化,标杆
600688,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,上海石油化工股份有限公司,石化,争议
600688,2019,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,上海石油化工股份有限公司,石化,争议
600688,2021,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,上海石油化工股份有限公司,石化,争议
600688,2021,NDWI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,上海石油化工股份有限公司,石化,争议
600871,2019,NDVI,,,,,,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag,中石化石油工程技术服务股份有限公司,石化,棕色
